"code","description","comment"
"01.30.10.110","Луковицы, клубнелуковицы, корневища цветов",NA
"01.30.10.111","Луковицы гиацинтов",NA
"01.30.10.112","Луковицы нарциссов",NA
"01.30.10.113","Луковицы тюльпанов",NA
"01.30.10.114","Клубнелуковицы гладиолусов",NA
"01.30.10.115","Корневища орхидей",NA
"01.30.10.119","Луковицы, клубнелуковицы, корневища прочих цветов",NA
"01.30.10.120","Рассада",NA
"01.30.10.121","Рассада цветов",NA
"01.30.10.122","Рассада овощных культур",NA
"01.30.10.123","Рассада ягодных культур",NA
"01.30.10.124","Дернина рулонная (газон рулонный)",NA
"01.30.10.129","Рассада прочих растений",NA
"01.30.10.130","Культуры плодовые и ягодные, включая черенки и отводки",NA
"01.30.10.131","Культуры плодовые семечковые",NA
"01.30.10.132","Культуры плодовые косточковые",NA
"01.30.10.133","Культуры ягодные",NA
"01.30.10.134","Культуры орехоплодные",NA
"01.30.10.135","Культуры цитрусовые",NA
"01.30.10.136","Виноград (культура ягодная)",NA
"01.30.10.139","Культуры плодовые и ягодные прочие",NA
"01.30.10.140","Культуры декоративные, включая черенки и отводки",NA
"01.30.10.141","Рододендроны и азалии",NA
"01.30.10.142","Сорта роз и шиповника (дикой розы) культурные, включая черенки и отводки",NA
"01.30.10.149","Культуры декоративные, включая черенки и отводки, прочие",NA
"01.30.10.150","Мицелий гриба (грибница)",NA
"01.30.10.151","Мицелий тепличных шампиньонов",NA
"01.30.10.159","Мицелий прочих грибов",NA
"01.4","Животные живые и продукты животного происхождения",NA
"01.41","Скот молочный крупный рогатый живой, молоко сырое крупного рогатого скота",NA
"01.41.1","Скот молочный крупный рогатый живой",NA
"01.41.10","Скот молочный крупный рогатый живой",NA
"01.41.10.110","Скот молочный крупный рогатый живой (кроме племенного)",NA
"01.41.10.120","Скот молочный крупный рогатый живой племенной",NA
"01.41.2","Молоко сырое крупного рогатого скота",NA
"01.41.20","Молоко сырое крупного рогатого скота",NA
"01.41.20.110","Молоко сырое коровье",NA
"01.41.20.120","Молоко сырое буйволиц",NA
"01.41.20.130","Молоко сырое ячих",NA
"01.41.20.190","Молоко сырое прочего крупного рогатого скота, не включенного в другие группировки",NA
"01.42","Скот крупный рогатый прочий и буйволы живые и их сперма",NA
"01.42.1","Скот крупный рогатый прочий и буйволы живые",NA
"01.42.11","Скот крупный рогатый прочий и буйволы живые (кроме телят и молодняка)",NA
